,rank,city,country,pop,date,url,mayor,lat,long,party,mayorname,ctry,yr,party_eu,rile,gender
29,29,Rotterdam,Netherlands,663945,31-Dec-22,https://en.wikipedia.org/wiki/Rotterdam,Ahmed Aboutaleb (PvdA),51°55′N,4°30′E,PvdA,Ahmed Aboutaleb ,NL,2022,S&D,-13.836,M
30,30,Helsinki,Finland,658864,31-Dec-21,https://en.wikipedia.org/wiki/Helsinki,Juhana Vartiainen (KOK),60°10′15″N,24°56′15″E,KOK,Juhana Vartiainen ,FI,2021,EPP,1.2,M
31,31,Copenhagen,Denmark,644431,1-Jan-22,https://en.wikipedia.org/wiki/Copenhagen_Municipality,Sophie Hæstorp Andersen (Social Democrats),55°40′31″N,12°34′13″E,Social Democrats,Sophie Hæstorp Andersen ,DK,2022,S&D,-18.483,F
32,32,Athens,Greece,637798,23-Oct-21,https://en.wikipedia.org/wiki/Athens,Kostas Bakoyannis (New Democracy),37°59′03″N,23°43′41″E,New Democracy,Kostas Bakoyannis ,GR,2021,EPP,-8.025,M
33,33,Palermo,Italy,630828,1-Jan-22,https://en.wikipedia.org/wiki/Palermo,Roberto Lagalla (UDC),38°06′40″N,13°21′06″E,UDC,Roberto Lagalla ,IT,2022,EPP,33.652,M
34,34,Stuttgart,Germany,626275,31-Dec-21,https://en.wikipedia.org/wiki/Stuttgart,Frank Nopper [de][1] (CDU),48°46′39″N,09°10′48″E,CDU,Frank Nopper [de] ,DE,2021,EPP,2.757,M
35,35,Düsseldorf,Germany,619477,31-Dec-21,https://en.wikipedia.org/wiki/D%C3%BCsseldorf,Stephan Keller[1] (CDU),51°14′N,6°47′E,CDU,Stephan Keller ,DE,2021,EPP,2.757,M
36,36,Riga,Latvia,611824,1-Jan-22,https://en.wikipedia.org/wiki/Riga,Mārtiņš Staķis (Independent),56°56′56″N,24°6′23″E,Independent,Mārtiņš Staķis ,LV,2022,NI,NA,M
37,37,Leipzig,Germany,601866,31-Dec-21,https://en.wikipedia.org/wiki/Leipzig,Burkhard Jung[1] (SPD),51°20′24″N,12°22′30″E,SPD,Burkhard Jung ,DE,2021,S&D,-24.673,M
38,38,Dublin,Ireland,588233,3-Apr-22,https://en.wikipedia.org/wiki/Dublin,Caroline Conroy (Green),53°21′00″N,06°15′37″W,Green,Caroline Conroy ,IE,2022,Greens/EFA,-32.091,F
39,39,Gothenburg,Sweden,587549,31-Dec-21,https://en.wikipedia.org/wiki/Gothenburg,Jonas Attenius (Swedish Social Democratic Party),57°42′27″N,11°58′03″E,Social Democrats,Jonas Attenius,SE,2021,S&D,-20,M
40,40,Dortmund,Germany,586852,31-Dec-21,https://en.wikipedia.org/wiki/Dortmund,Thomas Westphal[1] (SPD),51°31′N,7°28′E,SPD,Thomas Westphal ,DE,2021,S&D,-24.673,M
41,41,Vilnius,Lithuania,581475,1-Jan-23,https://en.wikipedia.org/wiki/Vilnius,Remigijus Šimašius (Freedom Party),54°41′14″N,25°16′48″E,Freedom Party,Remigijus Šimašius ,LT,2023,Renew,1.724,M
42,42,Essen,Germany,579432,31-Dec-21,https://en.wikipedia.org/wiki/Essen,Thomas Kufen[1] (CDU),51°27′3″N,7°0′47″E,CDU,Thomas Kufen ,DE,2021,EPP,2.757,M
43,43,Málaga,Spain,577405,1-Jan-21,https://en.wikipedia.org/wiki/M%C3%A1laga,Francisco de la Torre Prados (PP),36°43′10″N,4°25′12″W,PP,Francisco de la Torre Prados ,ES,2021,EPP,6.063,M
44,44,Bremen,Germany,563290,31-Dec-21,https://en.wikipedia.org/wiki/Bremen,Andreas Bovenschulte (SPD),53°5′N,8°48′E,SPD,Andreas Bovenschulte ,DE,2021,S&D,-24.673,M
45,45,The Hague,Netherlands,562501,31-Dec-22,https://en.wikipedia.org/wiki/The_Hague,Jan van Zanen (VVD),52°04′48″N,04°18′36″E,VVD,Jan van Zanen ,NL,2022,Renew,10.953,M
46,46,Genoa,Italy,560688,1-Jan-22,https://en.wikipedia.org/wiki/Genoa,"Marco Bucci (Indep, Right-Wing)",44°24′40″N,8°55′58″E,"Indep, Right-Wing",Marco Bucci ,IT,2022,NI,NA,M
47,47,Dresden,Germany,555351,31-Dec-21,https://en.wikipedia.org/wiki/Dresden,Dirk Hilbert[1] (FDP),51°03′00″N,13°44′24″E,FDP,Dirk Hilbert ,DE,2021,Renew,0.266,M
48,48,Lisbon,Portugal,545923,19-Apr-21,https://en.wikipedia.org/wiki/Lisbon,Carlos Moedas (PSD),38°43′31″N,09°09′00″W,PSD,Carlos Moedas ,PT,2021,EPP,-4.598,M
49,49,Poznań,Poland,545073,31-Dec-21,https://en.wikipedia.org/wiki/Pozna%C5%84,Jacek Jaśkowiak (PO),52°24′30″N,16°56′01″E,PO,Jacek Jaśkowiak ,PL,2021,EPP,-17.282,M
50,50,Antwerp,Belgium,536079,1-Jan-23,https://en.wikipedia.org/wiki/Antwerp,Bart De Wever (N-VA),51°13′04″N,04°24′01″E,N-VA,Bart De Wever ,BE,2023,ECR,4.78,M
51,51,Hanover,Germany,535932,31-Dec-21,https://en.wikipedia.org/wiki/Hanover,Belit Onay[1] (Greens),52°22′N,9°43′E,Greens,Belit Onay ,DE,2021,Greens/EFA,-21.038,M
52,52,Lyon,France,522969,1-Jan-19,https://en.wikipedia.org/wiki/Lyon,Grégory Doucet[2] (EELV),45°46′N,4°50′E,EELV,Grégory Doucet ,FR,2019,Greens/EFA,-8.636,M
53,53,Nuremberg,Germany,510632,31-Dec-21,https://en.wikipedia.org/wiki/Nuremberg,Marcus König[1] (CSU),49°27′14″N,11°04′39″E,CSU,Marcus König ,DE,2021,EPP,2.757,M
54,54,Duisburg,Germany,495152,31-Dec-21,https://en.wikipedia.org/wiki/Duisburg,Sören Link[1] (SPD),51°26′05″N,6°45′45″E,SPD,Sören Link ,DE,2021,S&D,-24.673,M
55,55,Toulouse,France,493465,1-Jan-19,https://en.wikipedia.org/wiki/Toulouse,Jean-Luc Moudenc[1] (LR),43°36′16″N,1°26′38″E,LR,Jean-Luc Moudenc ,FR,2019,EPP,13.619,M
56,56,Gdańsk,Poland,486271,31-Dec-21,https://en.wikipedia.org/wiki/Gda%C5%84sk,Aleksandra Dulkiewicz (PO),54°20′51″N,18°38′43″E,PO,Aleksandra Dulkiewicz ,PL,2021,EPP,-17.282,F
57,57,Bratislava,Slovakia,475044,1-Jul-21,https://en.wikipedia.org/wiki/Bratislava,Matúš Vallo (Independant - Team Bratislava),48°08′38″N,17°06′35″E,Independant - Team Bratislava,Matúš Vallo ,SK,2021,NI,NA,M
58,58,Murcia,Spain,460349,1-Jan-21,https://en.wikipedia.org/wiki/Murcia,José Antonio Serrano Martínez (2021) (PSOE),37°59′10″N,1°7′49″W,"2021,PSOE",José Antonio Serrano Martínez ,ES,2021,S&D,-28.654,M
59,59,Tallinn,Estonia,437811,1-Jan-22,https://en.wikipedia.org/wiki/Tallinn,Mihhail Kõlvart (Estonian Centre Party),59°26′14″N,24°44′43″E,Estonian Centre Party,Mihhail Kõlvart ,EE,2022,Renew,-8.324,M
60,60,Palma de Mallorca,Spain,419366,1-Jan-21,https://en.wikipedia.org/wiki/Palma_de_Mallorca,José Hila (PSOE),39°34′N,2°39′E,PSOE,José Hila ,ES,2021,S&D,-28.654,M
61,61,Szczecin,Poland,394482,31-Dec-21,https://en.wikipedia.org/wiki/Szczecin,Piotr Krzystek (BS),53°25′57″N,14°32′53″E,BS,Piotr Krzystek ,PL,2021,NI,NA,M
62,62,Bologna,Italy,392203,1-Jan-22,https://en.wikipedia.org/wiki/Bologna,Matteo Lepore (PD),44°29′38″N,11°20′34″E,PD,Matteo Lepore ,IT,2022,S&D,-8.275,M
63,63,Iași,Romania,391024,1-Jul-21,https://en.wikipedia.org/wiki/Ia%C8%99i,Mihai Chirica[4] (PNL),47°09′44″N,27°35′20″E,PNL,Mihai Chirica[4] ,RO,2021,EPP,1.471,M
64,64,Sintra,Portugal,385654,19-Apr-21,https://en.wikipedia.org/wiki/Sintra,Basílio Horta (PS),38°47′57″N,9°23′18″W,PS,Basílio Horta ,PT,2021,S&D,-12.621,M
